"cdentite";"lbstationhydro";"typestation";"dtmiseservice";"dtfermeture";"longitude";"latitude"
W107401001;L'Arc à Épierre;STD;1973-01-01 00:00:00;1989-01-01 00:00:00;6.292168754225251;45.46028930417376
W107403001;L'Arc à Aiguebelle;STD;2011-06-01 00:00:00;;6.308781832710837;45.54416713735617
W107403002;L'Arc à Aiguebelle - Barrage usine Aquabella;DEB;2021-10-08 00:00:00;;6.308781832710837;45.54416713735617
W107403003;L'Arc à Aiguebelle - Débit;DEB;2018-01-01 00:00:00;;6.308781832710837;45.54416713735617
W107403102;L'Arc à Saint-Rémy-de-Maurienne - DREAL;STD;2009-01-01 00:00:00;;6.275927026843057;45.38598967434542
W110001001;L'Isère à Chamousset [Pont Royal] - EDF;STD;1963-01-01 00:00:00;;6.198605673012206;45.562580381551705
W110001002;L'Isère à Chamousset [Pont Royal] - DREAL;STD;2009-01-01 00:00:00;;6.198605673012206;45.562580381551705
W110001003;L'Isère à Chamousset [Pont Royal] - SYMBHI;STD;2023-09-01 12:00:00;;6.198605673012206;45.562580381551705
W110501001;Le Gélon à la Croix-de-la-Rochette;STD;1981-04-09 00:00:00;1983-01-01 00:00:00;6.129537260467177;45.47313714479012
W110501002;Le Gélon à la Rochette;STD;1983-12-30 00:00:00;;6.1175925080766795;45.463656065560485
W110502001;Le Gélon à Bourgneuf;STD;1981-03-17 00:00:00;1985-01-06 00:00:00;6.209383262721524;45.550845586685085
W111001001;L'Isère à Montmélian - Limnimètre;STD;1988-01-07 00:00:00;;6.0556635845969415;45.49626946343317
W111001002;L'Isère à Montmélian - Débitmètre;DEB;2019-01-01 00:00:00;;6.0556635845969415;45.49626946343317
W111001301;Le ruisseau de la Crouza à Arbin [Source du Ruisseau] - Source du Ruisseau;DEB;2013-02-01 00:00:00;;6.068836667152958;45.51227484787745
W114402001;Le Bréda à Pontcharra;STD;2009-01-14 00:00:00;;6.021500689319837;45.43526031980893
W130001001;L'Isère à Barraux [La Gache] - EDF;STD;1986-01-01 00:00:00;;6.003486599904311;45.43468109932193
W130001002;L'Isère à Barraux [La Gache] - DREAL;STD;2009-01-01 00:00:00;;6.00475465191151;45.43493547297916
W131001001;L'Isère au Cheylas - EDF;STD;1978-01-01 00:00:00;;5.9807782492106085;45.36662370805978
W131001002;L'Isère au Cheylas - DREAL;STD;2009-01-01 00:00:00;;5.980650599730828;45.36662710631169
W140000101;L'Isère à Crolles - DREAL;STD;2018-08-11 00:00:00;;5.898879238025435;45.26532471331425
W140000102;L'Isère à Crolles - SYMBHI;STD;2023-09-01 10:00:00;;5.898878770020272;45.26531571506215
W141001001;L'Isère à Grenoble [Bastille];STD;1960-01-01 00:00:00;;5.724998278575393;45.19299118378127
W141001201;Le ruisseau du Doménon à Domène;STD;2018-04-17 00:00:00;;5.837266951070281;45.20220435168854
W141001203;Le ruisseau du Doménon à Domène - Station vitesse;DEB;2018-01-01 00:00:00;;5.837279679273585;45.202204028219946
W200201001;Le Drac [noir] à Orcières [Merlette];STD;1974-10-01 00:00:00;1977-09-01 12:00:00;6.337871771910596;44.68572580779173
W200202101;Le Drac à Orcières [Les Tourengs];STD;1900-12-12 00:00:00;;6.286414152896337;44.68118433798403
W201501001;Le torrent Drac de Champoléon à Champoléon [Gondouins];STD;1974-10-01 00:00:00;1977-09-01 12:00:00;6.255014569687541;44.72504799814
W201502001;Le torrent Drac de Champoléon à Champoléon [Pont de Corbière];STD;1900-12-12 00:00:00;;6.263858646373094;44.68903965208171
W201631001;Le torrent de Mal Cros à Champoléon;STD;1982-08-01 00:00:00;;6.199119364749879;44.7327323771177
W202201001;Le Drac à Saint-Jean-Saint-Nicolas [Les Ricous];STD;1972-09-01 00:00:00;;6.256836150488531;44.67975937419934
W202202101;Le Drac à Saint-Jean-Saint-Nicolas [Pont du Fossé];FICTIVE;1989-06-21 00:00:00;;6.228210029598116;44.66650852126801
W202203001;Le Drac [le Drac] à Chabottes [Pont de Chabottes];STD;2007-08-04 00:00:00;;6.173312142951402;44.64968096295087
W202581001;Le torrent d'Ancelle à Ancelle;STD;1972-09-01 00:00:00;1995-01-01 00:00:00;6.209389927782761;44.622284990727714
W202581301;Le torrent d'Ancelle à Forest-Saint-Julien - Pont de frappe;STD;2017-01-01 00:00:00;;6.143118096756661;44.6385424101614
W203000301;Le ruisseau des Granges à Saint-Julien-en-Champsaur - Buissard;STD;2015-01-01 00:00:00;;6.136868882843155;44.65163997693802
W210701001;Le torrent de Navette à la Chapelle-en-Valgaudémar [Oulles du Diable];STD;1904-11-01 00:00:00;1996-01-01 00:00:00;6.19697747277631;44.81337506153235
W221502001;La Souloise à Saint-Disdier [Pont de la Baume];STD;1972-11-01 00:00:00;1986-07-16 16:30:00;5.88471877633229;44.751396556429064
W221503001;La Souloise à Saint-Étienne-en-Dévoluy [2];STD;1977-09-01 00:00:00;;5.938667396785076;44.692965153885446
W221503002;La Souloise à Saint-Étienne-en-Dévoluy [2];STD;1972-11-01 00:00:00;1974-09-10 15:30:00;5.937883674905149;44.693331403353845
W221504001;La Souloise à Saint-Disdier [Les Roures];STD;1977-08-01 00:00:00;1984-09-05 13:45:00;5.895330165159897;44.73502047782469
W221641001;La Ribière à Agnières-en-Dévoluy [La Combe];STD;1977-08-01 00:00:00;;5.880885601378052;44.69544535544079
W221642001;La Ribière à Saint-Disdier [Moulin de Nayrette];STD;1977-08-01 00:00:00;1989-01-01 00:00:00;5.898889304287173;44.730260670362945
W221741001;La Souloise à Pellafol [Petites Gillardes];STD;1977-08-01 00:00:00;1984-05-16 16:50:00;5.888816705266035;44.76028982514967
W222000101;Le Drac à Corps [EDF - Le Sautet];STD;1948-01-01 00:00:00;;5.909317490550227;44.81754778293911
W231401001;La Bonne à Entraigues [Pont Battant];STD;1905-02-01 00:00:00;;5.944454070018712;44.90034680696655
W233521001;La Roizonne à la Valette [La Rochette];STD;1919-06-01 00:00:00;;5.867453550023259;44.94987777877034
W240501001;La Jonche à la Mure;STD;1972-09-20 00:00:00;;5.782869014006707;44.913873865335525
W240502001;La Jonche à Pierre-Châtel;STD;1984-11-14 00:00:00;1995-06-03 00:00:00;5.7905764115718314;44.9681232099593
W253401001;L'Ebron à Clelles [Parassat];STD;1974-01-01 00:00:00;1977-12-01 12:00:00;5.669227077734633;44.82587452968073
W271000101;La Romanche à Mizoën [EDF - Chambon amont];STD;1948-01-01 00:00:00;;6.1829658782760895;45.038608351174666
W271000103;La Romanche à Mizoën [EDF - Chambon amont];DEB;1948-01-01 00:00:00;;6.1829658782760895;45.038608351174744
W273000102;Le Vénéon à Saint-Christophe-en-Oisans - DREAL;STD;2018-11-20 00:00:00;;6.251979617577883;44.93735336200526
W274601001;La Rive au Bourg-d'Oisans;STD;1905-06-01 00:00:00;1991-01-02 00:00:00;6.030243282637452;45.059062368670666
W274601201;La Romanche au Bourg-d'Oisans [Pont de la Romanche];STD;2018-02-27 00:00:00;;6.03676773380339;45.05840707265343
W274601202;La Romanche au Bourg-d'Oisans [Pont de la Romanche] - Vitesse;DEB;2018-02-27 00:00:00;;6.03674185675068;45.05839876779892
W274601301;La Romanche au Bourg-d'Oisans [Pont Rouge] - EDF;STD;2017-11-21 00:00:00;;6.0132497733853;45.11554187523801
W274601302;La Romanche au Bourg-d'Oisans [Pont Rouge] - DREAL;STD;2017-11-21 00:00:00;;6.0132497733853;45.11554187523801
W275000201;L'Eau d'Olle à Allemond [EDF - La Pernière - QNR];STD;1951-01-01 00:00:00;;6.019754014429099;45.12051091807326
W275000301;L'Eau d'Olle à Allemond [La Pernière] - EDF;STD;2020-03-12 00:00:00;;6.019666027294662;45.12053132272512
W275000302;L'Eau d'Olle à Allemond [La Pernière] - DREAL;STD;2020-03-12 00:00:00;;6.019666027294662;45.12053132272512
W276721001;[La Duy] à Vizille;STD;1979-03-07 00:00:00;;5.774925825978665;45.06673485761893
W276721102;La Romanche à Livet-et-Gavet [Champeau] - DREAL;STD;2009-01-01 00:00:00;;5.977490687593171;45.11770117375603
W276721401;La Romanche à Notre-Dame-de-Mésage;STD;2018-10-26 23:00:00;;5.765024079774936;45.07706267691119
W280401001;La Gresse à Saint-Guillaume [Pont des Beaumettes];STD;1981-12-31 00:00:00;1986-01-01 00:00:00;5.571920011124526;44.937199901055195
W280402001;La Gresse à Gresse-en-Vercors [Pont Jacquet];STD;1986-12-31 00:00:00;;5.570437233563409;44.92671246408439
W283201001;Le Drac au Pont-de-Claix;STD;1904-01-01 00:00:00;;5.697006877181787;45.11974014754799
W283201101;Le Drac à Fontaine - EDF;STD;1983-03-01 00:00:00;;5.6926253385534915;45.2031105074279
W283201102;Le Drac à Fontaine - DREAL;STD;2009-01-01 00:00:00;;5.692676255459453;45.203109279478824
W300501001;Le canal du Furon à Engins;STD;1969-06-12 00:00:00;1988-01-02 00:00:00;5.62236381778659;45.177791419054024
W300521001;Le Bruyant [résurgence] à Saint-Nizier-du-Moucherotte;STD;1969-04-01 00:00:00;1975-01-01 00:00:00;5.6160258059597465;45.147462503022
